Custo G(n) ; N° Amostras ; Tempo Médio (ms) 
    1      ;     1       ;   0,00
    2      ;     2       ;   0,00
    3      ;     3       ;   1,00
    4      ;     9       ;   0,33
    5      ;     7       ;   0,14
    6      ;     18       ;   0,22
    7      ;     26       ;   0,35
    8      ;     31       ;   0,61
    9      ;     28       ;   0,82
    10      ;     41       ;   1,02
    11      ;     45       ;   1,36
    12      ;     46       ;   1,70
    13      ;     59       ;   2,07
    14      ;     91       ;   2,95
    15      ;     70       ;   2,97
    16      ;     100       ;   3,58
    17      ;     80       ;   4,44
    18      ;     100       ;   4,59
    19      ;     91       ;   5,95
    20      ;     93       ;   6,99
    21      ;     109       ;   8,03
    22      ;     106       ;   8,65
    23      ;     114       ;   10,45
    24      ;     121       ;   12,21
    25      ;     105       ;   14,10
    26      ;     129       ;   15,71
    27      ;     106       ;   19,58
    28      ;     123       ;   23,50
    29      ;     129       ;   25,89
    30      ;     96       ;   34,14
    31      ;     88       ;   36,89
    32      ;     91       ;   40,53
    33      ;     79       ;   45,42
    34      ;     63       ;   48,70
    35      ;     61       ;   60,16
    36      ;     63       ;   69,90
    37      ;     45       ;   68,33
    38      ;     44       ;   78,27
    39      ;     52       ;   83,42
    40      ;     51       ;   91,00
    41      ;     25       ;   95,68
    42      ;     32       ;   118,81
    43      ;     21       ;   125,62
    44      ;     25       ;   132,72
    45      ;     22       ;   144,18
    46      ;     20       ;   163,50
    47      ;     14       ;   165,57
    48      ;     6       ;   153,50
    49      ;     8       ;   208,75
    50      ;     3       ;   228,33
    51      ;     4       ;   260,50
    52      ;     6       ;   253,33
    53      ;     3       ;   250,00
    54      ;     2       ;   266,50
    55      ;     5       ;   305,20
    56      ;     3       ;   282,00
    57      ;     1       ;   274,00
    58      ;     1       ;   322,00
