Custo G(n) ; N° Amostras ; Tempo Médio (ms) 
    0      ;     3       ;   0,00
    1      ;     1       ;   0,00
    2      ;     7       ;   0,00
    3      ;     19       ;   0,42
    4      ;     37       ;   0,57
    5      ;     58       ;   0,66
    6      ;     61       ;   1,10
    7      ;     77       ;   1,64
    8      ;     89       ;   2,21
    9      ;     118       ;   2,97
    10      ;     121       ;   3,69
    11      ;     150       ;   5,25
    12      ;     161       ;   6,19
    13      ;     143       ;   8,45
    14      ;     148       ;   12,61
    15      ;     163       ;   13,36
    16      ;     128       ;   18,56
    17      ;     124       ;   20,72
    18      ;     142       ;   23,18
    19      ;     134       ;   28,02
    20      ;     94       ;   34,85
    21      ;     81       ;   42,42
    22      ;     81       ;   45,78
    23      ;     57       ;   54,46
    24      ;     55       ;   60,00
    25      ;     54       ;   69,13
    26      ;     29       ;   78,76
    27      ;     23       ;   105,43
    28      ;     27       ;   103,33
    29      ;     14       ;   105,07
    30      ;     12       ;   125,25
    31      ;     11       ;   127,00
    32      ;     6       ;   147,17
    33      ;     4       ;   134,75
    34      ;     1       ;   146,00
